curr1,curr2,price
USDC,CHF,0.84900168
USDC,EUR,0.91497276
USDC,GBP,0.78643944
USD,CHF,0.8480592359999999
USDC,USD,1.00280052
USDC,USDT,1.00179792
USDT,AUD,1.493874
USDT,CAD,1.3399749
USDT,CHF,0.848971602
USDT,EUR,0.9158751
USDT,GBP,0.787041
USDT,JPY,144.2059632
USDT,USD,1.003582548
UST,EUR,0.024323076
UST,USD,0.0266691599999999
UST,USDC,0.0242528939999999
UST,USDT,0.0264185099999999
WAVES,ETH,0.00105012324
WAVES,EUR,2.270889
WAVES,USD,2.4920625599999995
WAVES,XBT,5.2656552e-05
WAXL,EUR,1.02726396
WAXL,USD,1.12100706
WBTC,EUR,42791.56956
WBTC,USD,47128.7169
WBTC,XBT,1.00219896
WOO,EUR,0.37828098
WOO,USD,0.41417406
XBT,AED,0.0
XBT,AUD,70312.03722
XBT,CHF,39946.39128
XBT,DAI,47123.30286
XBT,PYUSD,46787.3316
XBT,USDC,47153.340756
XBT,USDT,47145.7611
XCN,EUR,0.0012331979999999
XCN,USD,0.0013835879999999
XDG,EUR,0.0742934620799999
XDG,USD,0.08143087122
XDG,USDT,0.0812206259999999
ETC,ETH,0.0086935445999999
ETC,XBT,0.0004331231999999
ETC,EUR,18.5861988
ETC,USD,20.3417514
ETH,XBT,0.050220234
ETH,CAD,3153.2572079999995
ETH,EUR,2158.808346
ETH,GBP,1853.8074
ETH,JPY,339692.9112
ETH,USD,2365.113348
LTC,XBT,0.001433718
LTC,EUR,61.549614
LTC,JPY,9684.1134
LTC,USD,67.464954
MLN,ETH,0.0074994479999999
MLN,XBT,0.0003769775999999
MLN,EUR,16.230088799999997
MLN,USD,17.7069186
XMR,USDT,152.56564199999997
REP,XBT,3.80988e-05
REP,EUR,1.6542899999999998
REP,USD,1.7986643999999998
XRP,AUD,0.866727648
XRP,ETH,0.0002466396
XRP,GBP,0.4562531819999999
XRP,USDT,0.5820895079999999
XRT,EUR,2.927592
XRT,USD,3.168216
XTZ,AUD,1.37677032
XTZ,ETH,0.0003980322
XTZ,EUR,0.8537139
XTZ,GBP,0.7342039799999999
XTZ,USD,0.93773178
XTZ,USDT,0.93783204
XTZ,XBT,1.965096e-05
XBT,CAD,62950.44671999999
XBT,EUR,43053.54894
XBT,GBP,37018.69901999999
XBT,JPY,6768487.431
XBT,USD,47182.25574
XDG,XBT,1.724472e-06
XLM,XBT,2.546604e-06
XLM,EUR,0.1089054197999999
XLM,GBP,0.093672918
XLM,USD,0.1193956235999999
XMR,XBT,0.0032604552
XMR,EUR,140.173506
XMR,USD,153.3978
XRP,XBT,1.2372084e-05
XRP,CAD,0.776934792
XRP,EUR,0.532089846
XRP,JPY,83.712087
XRP,USD,0.58316229
ZEC,XBT,0.000461196
ZEC,EUR,19.7682642
ZEC,USD,21.636108
YFI,EUR,7051.2858
YFI,USD,7740.071999999999
YFI,XBT,0.1653287399999999
YGG,EUR,0.4972895999999999
YGG,USD,0.546417
EUR,USD,1.098588924
GBP,USD,1.278315
ZRX,EUR,0.2957669999999999
ZRX,USD,0.3238398
ZRX,XBT,6.907914e-06
USD,CAD,1.338440922
USD,JPY,144.06158879999998
